Rank (2021),Municipality,Province,Municipal status,Population (2021),Population (2016),Change,Land area (km2),Population density (/km2)
1,Toronto,Ontario,City,"2,794,356","2,731,571",#ERROR!,631.1,"4,427.8"
2,Montreal,Quebec,Ville,"1,762,949","1,704,694",#ERROR!,364.74,"4,833.4"
3,Calgary,Alberta,City,"1,306,784","1,239,220",#ERROR!,820.62,"1,592.4"
4,Ottawa,Ontario,City,"1,017,449","934,243",#ERROR!,2788.2,364.9
5,Edmonton,Alberta,City,"1,010,899","933,088",#ERROR!,765.61,"1,320.4"
6,Winnipeg,Manitoba,City,"749,607","705,244",#ERROR!,461.78,"1,623.3"
7,Mississauga,Ontario,City,"717,961","721,599",−0.5%,292.74,"2,452.6"
8,Vancouver,British Columbia,City,"662,248","631,486",#ERROR!,115.18,"5,749.7"
9,Brampton,Ontario,City,"656,48","593,638",#ERROR!,265.89,"2,469.0"
10,Hamilton,Ontario,City,"569,353","536,917",#ERROR!,1118.31,509.1
11,Surrey,British Columbia,City,"568,322","517,887",#ERROR!,316.11,"1,797.9"
12,Quebec City,Quebec,Ville,"549,459","531,902",#ERROR!,452.30,"1,214.8"
13,Halifax,Nova Scotia,Regional municipality,"439,819","403,131",#ERROR!,5475.57,80.3
14,Laval,Quebec,Ville,"438,366","422,993",#ERROR!,246.13,"1,781.0"
15,London,Ontario,City,"422,324","383,822",#ERROR!,420.5,"1,004.3"
16,Markham,Ontario,City,"338,503","328,966",#ERROR!,210.93,"1,604.8"
17,Vaughan,Ontario,City,"323,103","306,233",#ERROR!,272.44,"1,186.0"
18,Gatineau,Quebec,Ville,"291,041","276,245",#ERROR!,341.84,851.4
19,Saskatoon,Saskatchewan,City,"266,141","247,201",#ERROR!,226.56,"1,174.7"
20,Kitchener,Ontario,City,"256,885","233,222",#ERROR!,136.81,"1,877.7"
21,Longueuil,Quebec,Ville,"254,483","239,897",#ERROR!,115.77,"2,198.2"
22,Burnaby,British Columbia,City,"249,125","232,755",#ERROR!,90.57,"2,750.6"
23,Windsor,Ontario,City,"229,66","217,188",#ERROR!,146.02,"1,572.8"
24,Regina,Saskatchewan,City,"226,404","215,106",#ERROR!,178.81,"1,266.2"
25,Oakville,Ontario,Town,"213,759","193,832",#ERROR!,138.94,"1,538.5"
26,Richmond,British Columbia,City,"209,937","198,309",#ERROR!,128.87,"1,629.1"
27,Richmond Hill,Ontario,City,"202,022","195,022",#ERROR!,100.79,"2,004.4"
