"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","114.81","","","","2"
"2002","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","116.27","","","","2"
"2003","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","124.83","","","","2"
"2004","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","124.08","","","","2"
"2005","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","121.93","","","","2"
"2006","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","115.60","","","","2"
"2007","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","114.40","","","","2"
"2008","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","112.00","","","","2"
"2009","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","105.59","","","","2"
"2010","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","98.18","","","","2"
"2011","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","87.52","","","","2"
"2012","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","86.13","","","","2"
"2013","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","85.31","","","","2"
"2014","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","87.55","","","","2"
"2015","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","104.49","","","","2"
"2016","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","105.99","","","","2"
"2017","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","112.06","","","","2"
"2018","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","113.65","","","","2"
"2019","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","120.14","","","","2"
"2020","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","108.78","","","","2"
"2021","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","101.27","","","","2"
"2022","Alberta [48]","2016A000248","Crime severity index","Index","160","units","0","v66455202","1.1","103.21","","","","2"
"2001","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","0.00","","","","2"
"2002","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","0.00","","","","2"
"2003","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","115.22","","","","2"
"2004","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","116.68","","","","2"
"2005","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","86.38","","","","2"
"2006","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","107.52","","","","2"
"2007","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","48.46","","","","2"
"2008","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","66.83","","","","2"
"2009","Nanton, Alberta, Royal Canadian Mounted Police, rural [48001]","2021A002548001","Crime severity index","Index","160","units","0","v66455220","2.1","72.61","","","","2"
