"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","146.64","","","","2"
"2002","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","148.10","","","","2"
"2003","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","154.69","","","","2"
"2004","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","153.38","","","","2"
"2005","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","146.31","","","","2"
"2006","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","139.79","","","","2"
"2007","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","132.42","","","","2"
"2008","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","121.81","","","","2"
"2009","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","111.85","","","","2"
"2010","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","104.13","","","","2"
"2011","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","96.70","","","","2"
"2012","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","94.53","","","","2"
"2013","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","87.71","","","","2"
"2014","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","90.18","","","","2"
"2015","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","92.65","","","","2"
"2016","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","91.73","","","","2"
"2017","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","87.14","","","","2"
"2018","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","88.84","","","","2"
"2019","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","104.28","","","","2"
"2020","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","97.41","","","","2"
"2021","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","96.89","","","","2"
"2022","British Columbia [59]","2016A000259","Crime severity index","Index","160","units","0","v66457764","1.1","100.37","","","","2"
"2001","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","55.74","","","","2"
"2002","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","48.38","","","","2"
"2003","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","49.22","","","","2"
"2004","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","48.05","","","","2"
"2005","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","50.18","","","","2"
"2006","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","47.23","","","","2"
"2007","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","56.27","","","","2"
"2008","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","54.48","","","","2"
"2009","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","51.21","","","","2"
"2010","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","39.99","","","","2"
"2011","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","34.13","","","","2"
"2012","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","32.70","","","","2"
"2013","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","28.66","","","","2"
"2014","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","30.47","","","","2"
"2015","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","32.97","","","","2"
"2016","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","36.71","","","","2"
"2017","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","39.53","","","","2"
"2018","Central Saanich, British Columbia, municipal [59001]","2021A002559001","Crime severity index","Index","160","units","0","v66457782","2.1","32.40","","","","2"
