"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","152.50","","","","2"
"2002","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","148.31","","","","2"
"2003","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","161.32","","","","2"
"2004","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","163.36","","","","2"
"2005","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","156.70","","","","2"
"2006","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","155.91","","","","2"
"2007","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","150.75","","","","2"
"2008","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","129.88","","","","2"
"2009","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","137.65","","","","2"
"2010","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","127.31","","","","2"
"2011","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","115.99","","","","2"
"2012","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","114.46","","","","2"
"2013","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","100.70","","","","2"
"2014","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","96.68","","","","2"
"2015","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","106.29","","","","2"
"2016","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","115.38","","","","2"
"2017","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","119.03","","","","2"
"2018","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","126.15","","","","2"
"2019","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","139.65","","","","2"
"2020","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","125.91","","","","2"
"2021","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","128.62","","","","2"
"2022","Manitoba [46]","2016A000246","Crime severity index","Index","160","units","0","v66448002","1.1","146.49","","","","2"
"2001","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","63.11","","","","2"
"2002","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","75.58","","","","2"
"2003","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","78.73","","","","2"
"2004","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","113.52","","","","2"
"2005","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","104.47","","","","2"
"2006","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","64.23","","","","2"
"2007","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","73.92","","","","2"
"2008","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","79.95","","","","2"
"2009","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","54.47","","","","2"
"2010","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","42.78","","","","2"
"2011","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","78.24","","","","2"
"2012","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","99.91","","","","2"
"2013","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","53.88","","","","2"
"2014","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","81.39","","","","2"
"2015","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","81.51","","","","2"
"2016","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","48.95","","","","2"
"2017","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","52.81","","","","2"
"2018","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","44.23","","","","2"
"2019","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","67.51","","","","2"
"2020","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","76.16","","","","2"
"2021","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","60.55","","","","2"
"2022","Altona, Manitoba, municipal [46001]","2021A002546001","Crime severity index","Index","160","units","0","v66448020","2.1","35.67","","","","2"
"2001","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","0.00","","","","2"
"2002","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","0.00","","","","2"
"2003","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","468.06","","","","2"
"2004","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","270.83","","","","2"
"2005","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","356.18","","","","2"
"2006","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","673.70","","","","2"
"2007","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","542.21","","","","2"
"2008","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","633.89","","","","2"
"2009","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","657.08","","","","2"
"2010","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","458.40","","","","2"
"2011","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","400.20","","","","2"
"2012","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","561.81","","","","2"
"2013","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","414.23","","","","2"
"2014","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","488.90","","","","2"
"2015","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","444.99","","","","2"
"2016","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","418.80","","","","2"
"2017","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","488.80","","","","2"
"2018","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","617.39","","","","2"
"2019","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","622.25","","","","2"
"2020","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","705.16","","","","2"
"2021","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","722.69","","","","2"
"2022","Chemawawin, Manitoba, Royal Canadian Mounted Police, rural [46002]","2021A002546002","Crime severity index","Index","160","units","0","v66448032","3.1","834.92","","","","2"
"2001","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","0.00","","","","2"
"2002","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","0.00","","","","2"
"2003","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","58.59","","","","2"
"2004","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","53.39","","","","2"
"2005","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","57.89","","","","2"
"2006","Carman Area, Manitoba, Royal Canadian Mounted Police, rural [46003]","2021A002546003","Crime severity index","Index","160","units","0","v66448044","4.1","33.92","","","","2"
