"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","86.54","","","","2"
"2002","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","84.54","","","","2"
"2003","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","83.15","","","","2"
"2004","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","78.20","","","","2"
"2005","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","76.96","","","","2"
"2006","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","78.57","","","","2"
"2007","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","74.50","","","","2"
"2008","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","70.94","","","","2"
"2009","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","69.30","","","","2"
"2010","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","65.58","","","","2"
"2011","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","61.17","","","","2"
"2012","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","59.04","","","","2"
"2013","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","52.58","","","","2"
"2014","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","49.93","","","","2"
"2015","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","51.05","","","","2"
"2016","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","53.29","","","","2"
"2017","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","56.35","","","","2"
"2018","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","60.40","","","","2"
"2019","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","60.99","","","","2"
"2020","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","55.54","","","","2"
"2021","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","56.17","","","","2"
"2022","Ontario [35]","2016A000235","Crime severity index","Index","160","units","0","v66443052","1.1","58.47","","","","2"
"2001","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","61.25","","","","2"
"2002","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","0.00","","","","2"
"2003","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","0.00","","","","2"
"2004","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","0.00","","","","2"
"2005","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","0.00","","","","2"
"2006","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","","..","","","2"
"2007","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","","..","","","2"
"2008","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","","..","","","2"
"2009","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","","..","","","2"
"2010","Meaford-Thornbury, Ontario, municipal [35001]","2021A002535001","Crime severity index","Index","160","units","0","v66443070","2.1","","..","","","2"
