"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","96.59","","","","2"
"2002","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","93.54","","","","2"
"2003","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","92.93","","","","2"
"2004","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","90.34","","","","2"
"2005","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","89.92","","","","2"
"2006","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","91.00","","","","2"
"2007","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","84.68","","","","2"
"2008","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","83.04","","","","2"
"2009","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","81.47","","","","2"
"2010","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","75.99","","","","2"
"2011","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","73.35","","","","2"
"2012","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","70.69","","","","2"
"2013","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","62.67","","","","2"
"2014","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","57.66","","","","2"
"2015","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","56.95","","","","2"
"2016","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","56.62","","","","2"
"2017","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","57.80","","","","2"
"2018","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","56.53","","","","2"
"2019","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","55.78","","","","2"
"2020","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","51.60","","","","2"
"2021","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","56.59","","","","2"
"2022","Quebec [24]","2016A000224","Crime severity index","Index","160","units","0","v65968199","1.1","59.73","","","","2"
"2001","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","77.03","","","","2"
"2002","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","0.00","","","","2"
"2003","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","0.00","","","","2"
"2004","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","0.00","","","","2"
"2005","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","0.00","","","","2"
"2006","Alma, Quebec, municipal [24003]","2021A002524003","Crime severity index","Index","160","units","0","v65968217","2.1","","..","","","2"
