"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","176.37","","","","2"
"2002","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","175.74","","","","2"
"2003","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","199.53","","","","2"
"2004","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","192.29","","","","2"
"2005","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","181.35","","","","2"
"2006","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","170.51","","","","2"
"2007","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","164.70","","","","2"
"2008","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","152.54","","","","2"
"2009","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","149.50","","","","2"
"2010","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","148.15","","","","2"
"2011","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","143.62","","","","2"
"2012","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","138.80","","","","2"
"2013","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","126.54","","","","2"
"2014","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","125.04","","","","2"
"2015","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","138.33","","","","2"
"2016","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","151.37","","","","2"
"2017","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","143.17","","","","2"
"2018","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","140.74","","","","2"
"2019","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","149.62","","","","2"
"2020","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","142.70","","","","2"
"2021","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","148.24","","","","2"
"2022","Saskatchewan [47]","2016A000247","Crime severity index","Index","160","units","0","v66452847","1.1","152.46","","","","2"
"2001","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","0.00","","","","2"
"2002","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","0.00","","","","2"
"2003","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","0.00","","","","2"
"2004","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","231.90","","","","2"
"2005","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","262.36","","","","2"
"2006","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","197.19","","","","2"
"2007","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","304.86","","","","2"
"2008","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","251.36","","","","2"
"2009","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","384.38","","","","2"
"2010","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","293.81","","","","2"
"2011","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","317.61","","","","2"
"2012","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","283.45","","","","2"
"2013","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","288.51","","","","2"
"2014","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","215.57","","","","2"
"2015","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","211.95","","","","2"
"2016","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","361.03","","","","2"
"2017","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","256.09","","","","2"
"2018","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","211.35","","","","2"
"2019","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","239.15","","","","2"
"2020","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","301.34","","","","2"
"2021","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","289.84","","","","2"
"2022","File Hills First Nations, Saskatchewan, municipal [47001]","2021A002547001","Crime severity index","Index","160","units","0","v66452865","2.1","220.43","","","","2"
"2001","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2002","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2003","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2004","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2005","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2006","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2007","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2008","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2009","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2010","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","0.00","","","","2"
"2011","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2012","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2013","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2014","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2015","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2016","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2017","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2018","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2019","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","472.07","","","","2"
"2020","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2021","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2022","Fond du Lac, Saskatchewan, Royal Canadian Mounted Police, rural [47002]","2021A002547002","Crime severity index","Index","160","units","0","v66452877","3.1","","..","","","2"
"2001","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2002","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2003","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2004","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2005","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2006","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2007","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2008","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2009","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2010","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","0.00","","","","2"
"2011","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2012","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2013","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2014","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2015","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2016","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2017","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2018","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2019","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2020","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2021","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2022","Green Lake, Saskatchewan, Royal Canadian Mounted Police, rural [47003]","2021A002547003","Crime severity index","Index","160","units","0","v66452889","4.1","","..","","","2"
"2001","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","0.00","","","","2"
"2002","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","0.00","","","","2"
"2003","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","0.00","","","","2"
"2004","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","0.00","","","","2"
"2005","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","0.00","","","","2"
"2006","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","42.52","","","","2"
"2007","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","38.12","","","","2"
"2008","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","53.01","","","","2"
"2009","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","47.86","","","","2"
"2010","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","43.44","","","","2"
"2011","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","44.31","","","","2"
"2012","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","41.68","","","","2"
"2013","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","38.66","","","","2"
"2014","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","41.93","","","","2"
"2015","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","51.39","","","","2"
"2016","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","46.32","","","","2"
"2017","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","39.04","","","","2"
"2018","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","38.32","","","","2"
"2019","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","43.72","","","","2"
"2020","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","30.54","","","","2"
"2021","Martensville, Saskatchewan, Royal Canadian Mounted Police, municipal [47004]","2021A002547004","Crime severity index","Index","160","units","0","v66452901","5.1","33.22","","","","2"
