"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","647","","","","0"
"1982","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","667","","","","0"
"1983","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","682","","","","0"
"1984","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","667","","","","0"
"1985","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","704","","","","0"
"1986","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","567","","","","0"
"1987","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","644","","","","0"
"1988","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","576","","","","0"
"1989","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","654","","","","0"
"1990","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","657","","","","0"
"1991","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","754","","","","0"
"1992","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","734","","","","0"
"1993","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","626","","","","0"
"1994","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","596","","","","0"
"1995","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","587","","","","0"
"1996","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","635","","","","0"
"1997","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","587","","","","0"
"1998","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","559","","","","0"
