"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2001","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","31020902","","","","0"
"2002","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","31360079","","","","0"
"2003","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","31644028","","","","0"
"2004","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","31940655","","","","0"
"2005","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","32243753","","","","0"
"2006","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","32571174","","","","0"
"2007","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","32889025","","","","0"
"2008","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","33247118","","","","0"
"2009","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","33628895","","","","0"
"2010","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","34004889","","","","0"
"2011","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","34339328","","","","0"
"2012","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","34714222","","","","0"
"2013","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","35082954","","","","0"
"2014","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","35437435","","","","0"
"2015","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","35702908","","","","0"
"2016","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","36109487","","","","0"
"2017","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","36545236","","","","0"
"2018","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37065084","","","","0"
"2019","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","37601230","","","","0"
"2020","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38007166","","","","0"
"2021","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38226498","","","","0"
"2022","Canada","2016A00001124","Both sexes","All ages","Persons","249","units","0","v1462635598","178.1.1","38929902","","","","0"
"2001","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","25121190","","","","0"
"2002","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","25464948","","","","0"
"2003","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","25745344","","","","0"
"2004","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","26035077","","","","0"
"2005","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","26332444","","","","0"
"2006","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","26666157","","","","0"
"2007","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","26972594","","","","0"
"2008","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","27313943","","","","0"
"2009","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","27682785","","","","0"
"2010","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","28039359","","","","0"
"2011","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","28365332","","","","0"
"2012","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","28733706","","","","0"
"2013","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","29086709","","","","0"
"2014","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","29425513","","","","0"
"2015","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","29680350","","","","0"
"2016","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30059970","","","","0"
"2017","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30482348","","","","0"
"2018","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","30979059","","","","0"
"2019","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31490790","","","","0"
"2020","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","31868844","","","","0"
"2021","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","32029012","","","","0"
"2022","All census metropolitan areas and census agglomerations, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828628","161.1.1","32668295","","","","0"
"2001","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21174905","","","","0"
"2002","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21500787","","","","0"
"2003","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","21753380","","","","0"
"2004","All census metropolitan areas, Canada","","Both sexes","All ages","Persons","249","units","0","v1078828973","162.1.1","22011568","","","","0"
